Batch,M_Trans,W_PH,W_ECppm500,A_CO2ppm,A_RH,L_r,M_Accum
189,-1.76408767535101,5.9,757.142857142857,470.0,63.0,0.0,-0.118256181799077
190,-1.76408767535101,5.9,764.285714285714,470.0,63.0,0.0,-0.118256181799077
191,-1.76408767535101,6.0,757.142857142857,470.0,63.0,0.0,-0.118256181799077
192,-1.76408767535101,6.0,764.285714285714,470.0,63.0,0.0,-0.118256181799077
193,-1.76408767535101,6.1,757.142857142857,470.0,63.0,0.0,-0.118256181799077
194,-1.76408767535101,6.1,764.285714285714,470.0,63.0,0.0,-0.118256181799077
195,-1.74795638594151,5.5,757.142857142857,470.0,61.0,18.3765182186235,-0.125293265628737
196,-1.74795638594151,5.5,757.142857142857,470.0,61.0,70.2631578947368,-0.125293265628737
197,-1.74795638594151,5.5,764.285714285714,470.0,61.0,18.3765182186235,-0.125293265628737
198,-1.74795638594151,5.5,764.285714285714,470.0,61.0,70.2631578947368,-0.125293265628737
199,-1.74795638594151,5.5,771.428571428571,470.0,61.0,18.3765182186235,-0.125293265628737
200,-1.74795638594151,5.5,771.428571428571,470.0,61.0,70.2631578947368,-0.125293265628737
